id_producto,nombre_producto,categoria,subcategoria,etiquetas,precio_venta,costo_base,es_ancla,es_incentivable
1,Sopa de Mariscos,Alimento,Ancla,"ancla,familiar",195,113.1,True,False
2,Ceviche de Camarón,Alimento,Principal,fresco,165,102.3,False,True
3,Ceviche Mixto,Alimento,Principal,fresco,185,114.7,False,True
4,Ceviche de Pescado,Alimento,Principal,fresco,155,96.1,False,True
5,Ceviche Verde,Alimento,Variante,fresco,175,105.0,False,True
6,Ceviche de Pulpo,Alimento,Principal,premium,210,130.2,False,True
7,Ceviche de Sierra,Alimento,Principal,fresco,170,105.4,False,True
8,Ceviche de Atún,Alimento,Principal,fresco,178,110.36,False,True
9,Ceviche Tostada,Alimento,Variante,fresco,145,87.0,False,True
10,Ceviche Tatemado,Alimento,Variante,temporada,180,108.0,False,True
11,Ceviche de Callo de Hacha,Alimento,Principal,premium,220,136.4,False,True
12,Ceviche de Camarón Gigante,Alimento,Variante,premium,240,144.0,False,True
13,Ceviche de Jaiba,Alimento,Principal,fresco,168,104.16,False,True
14,Ceviche de Caracol,Alimento,Principal,fresco,190,117.8,False,True
15,Ceviche Sinaloense,Alimento,Principal,temporada,195,120.9,False,True
16,Ceviche de Mero,Alimento,Principal,fresco,200,124.0,False,True
17,Ceviche de Huachinango,Alimento,Principal,premium,205,127.1,False,True
18,Ceviche de Camarón al Coco,Alimento,Variante,vistoso,195,117.0,False,True
19,Ceviche de Pescado Tostada,Alimento,Variante,fresco,150,90.0,False,True
20,Ceviche de Pulpo al Cilantro,Alimento,Variante,premium,215,129.0,False,True
21,Ceviche de Camarón y Pulpo,Alimento,Principal,premium,225,139.5,False,True
22,Ceviche de Atún Aleta Amarilla,Alimento,Principal,premium,235,145.7,False,True
23,Ceviche de Ostión,Alimento,Principal,fresco,175,108.5,False,True
24,Ceviche de Camarón al Mango,Alimento,Variante,"vistoso,temporada",185,111.0,False,True
25,Ceviche de Huachinango Tostada,Alimento,Variante,fresco,155,93.0,False,True
26,Filete de Pescado Empanizado,Alimento,Principal,familiar,185,122.1,False,True
27,Filete a la Plancha,Alimento,Principal,familiar,190,125.4,False,True
28,Filete al Mojo de Ajo,Alimento,Principal,familiar,200,132.0,False,True
29,Filete Relleno de Camarón,Alimento,Principal,premium,245,161.7,False,True
30,Filete Veracruzano,Alimento,Principal,temporada,210,138.6,False,True
31,Filete al Pastor de Marisco,Alimento,Variante,temporada,195,124.8,False,True
32,Filete al Achiote,Alimento,Principal,familiar,205,135.3,False,True
33,Filete en Salsa de Mango,Alimento,Variante,vistoso,215,137.6,False,True
34,Filete de Mero a la Plancha,Alimento,Principal,premium,225,148.5,False,True
35,Filete de Huachinango,Alimento,Principal,premium,235,155.1,False,True
36,Filete al Chipotle,Alimento,Principal,familiar,208,137.28,False,True
37,Filete de Robalo,Alimento,Principal,premium,230,151.8,False,True
38,Filete Dorado al Limón,Alimento,Principal,familiar,198,130.68,False,True
39,Filete de Sierra,Alimento,Principal,fresco,212,139.92,False,True
40,Filete con Camarones,Alimento,Principal,premium,250,165.0,False,True
41,Filete de Pescado al Coco,Alimento,Variante,vistoso,220,140.8,False,True
42,Filete a la Diabla,Alimento,Principal,familiar,205,135.3,False,True
43,Filete de Cazón,Alimento,Principal,familiar,190,125.4,False,True
44,Filete de Liza,Alimento,Principal,fresco,175,115.5,False,True
45,Filete de Corvina,Alimento,Principal,premium,240,158.4,False,True
46,Filete Empanizado con Papas,Alimento,Principal,familiar,192,126.72,False,True
47,Filete al Ajillo,Alimento,Principal,familiar,198,130.68,False,True
48,Filete en Salsa Verde,Alimento,Principal,familiar,195,128.7,False,True
